Date,Open,High,Low,Close,Volume
2017-06-01,65.87000274658203,66.7300033569336,65,65.48999786376953,44978400
2017-07-01,65.66999816894531,67.58999633789062,65.0199966430664,67.27999877929688,36277600
2017-08-01,67.54000091552734,67.79000091552734,66.1500015258789,67.55000305175781,28740200
2017-09-01,67.7300033569336,68.97000122070312,66.94000244140625,68.81999969482422,33553900
2017-10-01,68.7699966430664,70.36000061035156,68.7699966430664,70.30000305175781,27924700
2017-11-01,70.62999725341797,71.88999938964844,69.52999877929688,71.72000122070312,29025300
2017-12-01,71.61000061035156,72.76000213623047,70.80000305175781,72.08999633789062,49455900
2018-01-01,72.51000213623047,77.54000091552734,72.33000183105469,76.19999694824219,40629800
2018-02-01,75.95999908447266,76.41000366210938,68.5199966430664,72.79000091552734,89180500
2018-03-01,72.70999908447266,74.76000213623047,70.05000305175781,71.69999694824219,47442200
2018-04-01,71.38999938964844,73.52999877929688,69.66999816894531,71.98999786376953,39864800
2018-05-01,71.88999938964844,74.0999984741211,70.73999786376953,72.33000183105469,33778700
2018-06-01,72.81999969482422,74.3499984741211,70.20999908447266,71.12000274658203,50031300
2018-07-01,70.33999633789062,73.94000244140625,70.33999633789062,73.30000305175781,44847600
2018-08-01,73.2699966430664,74.69999694824219,71.22000122070312,73.80999755859375,44944300
2018-09-01,73.4000015258789,74.94999694824219,72.18000030517578,74.26000213623047,37385400
2018-10-01,74.62999725341797,74.75,66.2300033569336,68.73999786376953,106417900
2018-11-01,69.1500015258789,71.37000274658203,67.02999877929688,69.83000183105469,79315800
2018-12-01,70.9800033569336,71.02999877929688,61.0099983215332,64.16000366210938,175123900
2019-01-01,63.279998779296875,69.41999816894531,62.90999984741211,69.31999969482422,115239200
2019-02-01,69.30999755859375,71.75,68.43000030517578,71.02999877929688,57250600
2019-03-01,71.48999786376953,72.88999938964844,69.5,72.1500015258789,66803600
2019-04-01,72.76000213623047,74.68000030517578,72.68000030517578,74.62000274658203,37668200
2019-05-01,74.69999694824219,74.87000274658203,69.86000061035156,70.08999633789062,62231100
2019-06-01,70.18000030517578,74.06999969482422,69.88999938964844,73.70999908447266,56096200
2019-07-01,74.5,75.05999755859375,73.12999725341797,73.76000213623047,45084400
2019-08-01,73.7300033569336,74.47000122070312,69.81999969482422,72.12999725341797,89001600
2019-09-01,71.6500015258789,74.91999816894531,71.44000244140625,73.75,45209300
2019-10-01,73.81999969482422,76.04000091552734,71.12000274658203,75.7699966430664,55677800
2019-11-01,76.20999908447266,78.05999755859375,76.19000244140625,77.54000091552734,35169600
2019-12-01,77.63999938964844,79.91999816894531,76.0199966430664,79.25,43696200
2020-01-01,79.7699966430664,81.38999938964844,77.9000015258789,78.11000061035156,50367900
2020-02-01,78.45999908447266,81.75,70.16999816894531,72.26000213623047,74241500
2020-03-01,72.62000274658203,75.93000030517578,53.310001373291016,62.56999969482422,178646300
2020-04-01,60.119998931884766,70.06999969482422,59.29999923706055,68.72000122070312,116748100
2020-05-01,67.55999755859375,72.87999725341797,65.7699966430664,72.22000122070312,97158400
2020-06-01,72.45999908447266,77.37999725341797,70.87000274658203,73.72000122070312,63503500
2020-07-01,73.94999694824219,78.6500015258789,73.88999938964844,77.66999816894531,63393400
2020-08-01,78.19000244140625,82.87999725341797,78.06999969482422,82.3499984741211,64433300
2020-09-01,82.61000061035156,84.12000274658203,76.94000244140625,79.91999816894531,74357000
2020-10-01,80.52999877929688,84.02999877929688,77.33999633789062,78.13999938964844,86694700
2020-11-01,78.94000244140625,88.45999908447266,78.36000061035156,87.33000183105469,96178500
2020-12-01,88.4000015258789,90.98999786376953,87.94000244140625,90.72000122070312,53449700
